index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
1,NA,right,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,10,AAB_AAP_1_10.mp3
2,NA,right,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,15,AAD_AAT_5_15.mp3
3,NA,right,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,10,AAG_AAK_3_10.mp3
4,NA,right,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,9,AHB_AHP_3_9.mp3
5,NA,right,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,22,AHD_AHT_3_22.mp3
6,NA,right,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,14,AHG_AHK_3_14.mp3
7,NA,right,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,9,IHB_IHP_5_9.mp3
8,NA,right,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,8,IHD_IHT_3_8.mp3
9,NA,right,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,13,IHG_IHK_5_13.mp3
10,NA,right,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,9,UHB_UHP_5_9.mp3
11,NA,right,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,15,UHD_UHT_5_15.mp3
12,NA,right,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,13,UHG_UHK_5_13.mp3
13,NA,right,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,0,AAB_AAP_1_0.mp3
14,NA,right,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,0,AAD_AAT_5_0.mp3
15,NA,right,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,0,AAG_AAK_3_0.mp3
16,NA,right,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,0,AHB_AHP_3_0.mp3
17,NA,right,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,0,AHD_AHT_3_0.mp3
18,NA,right,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,0,AHG_AHK_3_0.mp3
19,NA,right,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,0,IHB_IHP_5_0.mp3
20,NA,right,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,0,IHD_IHT_3_0.mp3
21,NA,right,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,0,IHG_IHK_5_0.mp3
22,NA,right,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,0,UHB_UHP_5_0.mp3
23,NA,right,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,0,UHD_UHT_5_0.mp3
24,NA,right,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,0,UHG_UHK_5_0.mp3
25,NA,right,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,4,AAB_AAP_1_4.mp3
26,NA,right,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,9,AAD_AAT_5_9.mp3
27,NA,right,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,4,AAG_AAK_3_4.mp3
28,NA,right,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,3,AHB_AHP_3_3.mp3
